Model Name,Virtual Model,Virtual Account,User Type,Total Requests,Sum Input Tokens,Sum Output Tokens,Sum Cost In USD,Avg Latency Ms,Avg Time To First Token Ms,Avg Inter Token Latency Ms
gemma/gemma4-31b,,internal-developer-va,virtualaccount,10,0,0,0,0,0,0
internal-bedrock/sonnet-46,,um-va,virtualaccount,546,3909360,986493,27.01,27728.84,0,0
internal-bedrock/haiku-45,,um-va,virtualaccount,56,215299,119943,0.87,12256.53,0,0
document-ai-vm/document-parse,document-ai-vm/document-parse,internal-developer-va,virtualaccount,5,0,0,0,101.92,0,0
sonnet,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
gpt-4o,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
google-vertex/gemini-2.5-pro,,internal-developer-va,virtualaccount,1120,6331877,1016470,14.79,15189.23,0,0
gpt-4,,um-va,virtualaccount,3,0,0,0,0,0,0
flow-code/sonnet-46,flow-code/sonnet-46,internal-developer-va,virtualaccount,14,0,0,0,3.45,0,0
google-vertex/gemini-2.5-pro,um-team-vm/staging_um_ccx_eval,um-va,virtualaccount,305,2313286,954118,12.39,25857.61,0,0
gpt-4,,internal-developer-va,virtualaccount,12,0,0,0,0,0,0
google-vertex/anthropic-claude-haiku-4-5,,internal-developer-va,virtualaccount,202,0,0,0,531.74,0,0
um-team-vm/prod_um_ccx_timeline,um-team-vm/prod_um_ccx_timeline,um-va,virtualaccount,1,0,0,0,30064.26,0,0
um-team-vm/prod_um_ccx_eval,um-team-vm/prod_um_ccx_eval,um-va,virtualaccount,1,0,0,0,21522.64,0,0
google-vertex/gemini-3.1-pro-preview,um-team-vm/dev_um_ccx_timeline,um-va,virtualaccount,1,9229,7567,0.11,113664.58,0,0
gemini,,internal-developer-va,virtualaccount,4,0,0,0,0,0,0
claude-sonnet-4-6,,internal-developer-va,virtualaccount,6,0,0,0,0,0,0
openai-main/gpt-4o,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
anthropic/claude-3-5-sonnet,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
claude-3-5-sonnet-20241022,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
google-vertex/gemini-2.5-pro,um-team-vm/prod_um_ccx_portal,um-va,virtualaccount,1,10192,5505,0.07,35764.87,0,0
google-vertex/gemini-25-flash,,internal-developer-va,virtualaccount,1977,6339123,4299600,12.40,11718.32,0,0
um-team-vm/staging_um_ccx_timeline,um-team-vm/staging_um_ccx_timeline,um-va,virtualaccount,5,0,0,0,120601.53,0,0
document-ai-vm/document-parse,,internal-developer-va,virtualaccount,5,0,0,0,0,0,0
openai/gpt-4,,um-va,virtualaccount,3,0,0,0,0,0,0
google-vertex/anthropic-claude-sonnet-4-5,,internal-developer-va,virtualaccount,4,0,0,0,0,0,0
claude-sonnet,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
gemini-25-flash,,um-va,virtualaccount,2,0,0,0,0,0,0
claude-3-5-sonnet,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
internal-bedrock/sonnet-5,,internal-developer-va,virtualaccount,926,860938,306381,5.60,10324.14,0,0
openai/gpt-5.2,,internal-developer-va,virtualaccount,21,17,8,0.00,581.62,0,0
internal-bedrock/sonnet-4,,internal-developer-va,virtualaccount,395,5206813,119156,0,7236.20,2161.92,9.00
um-team-vm/staging_um_ccx_ocr,um-team-vm/staging_um_ccx_ocr,um-va,virtualaccount,2,0,0,0,16988.23,0,0
internal-bedrock/anthropic.sonnet-5,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
internal-bedrock/sonet-46,,internal-developer-va,virtualaccount,3,0,0,0,0,0,0
google-vertex/google-gemini-3.5-flash,,internal-developer-va,virtualaccount,370,1360813,607621,7.50,9407.70,0,0
document-parse/document-parse-1b,,internal-developer-va,virtualaccount,1,2,8998,0,30472.45,0,0
internal-bedrock/sonnet-46,um-team-vm/staging_um_ccx_portal,um-va,virtualaccount,103,901010,198029,5.87,19109.48,0,0
azure-openai/gpt4o,,internal-developer-va,virtualaccount,2324,902034,91163,0,1173.22,1976.61,16.64
gemini-25-flash,,internal-developer-va,virtualaccount,8,0,0,0,0,0,0
dev-gravity/anthropic.sonnet-5,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
internal-bedrock/opus-46-v1,,internal-developer-va,virtualaccount,10721,24835680,819045,97.75,21012.50,2039.79,13.29
openai/gpt-41-nano,,internal-developer-va,virtualaccount,223,30260,26800,0.01,1367.16,0,0
,,um-va,virtualaccount,1,0,0,0,0,0,0
internal-bedrock/sonnet-35,,internal-developer-va,virtualaccount,2,0,0,0,0,0,0
document-parse/document-parse-1b,sara-vision/document-parse-1b,internal-developer-va,virtualaccount,1,2,8998,0,30476.50,0,0
um-team-vm/dev_um_ccx_timeline,um-team-vm/dev_um_ccx_timeline,um-va,virtualaccount,1,0,0,0,76097.53,0,0
claude-3-7-sonnet,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
